symbol,date,open_price,high_price,low_price,close_price,volume
IWM,2025-04-07,174.32,190.25,171.73,179.55,96706222
IWM,2025-04-08,185.69,185.92,172.34,174.82,61090600
IWM,2025-04-09,172.72,192.11,171.74,189.68,123015115
IWM,2025-04-10,184.52,185.48,176.98,181.71,67503008
IWM,2025-04-11,181.14,184.85,178.58,184.36,44954400
IWM,2025-04-14,187.81,187.97,183.05,186.53,35214609
IWM,2025-04-15,186.34,189.05,185.84,186.76,30715500
IWM,2025-04-16,185.7,186.73,182.56,184.97,35063316
IWM,2025-04-17,184.99,187.43,184.46,186.48,42359249
IWM,2025-04-21,185.0,185.29,180.77,182.74,26019000
IWM,2025-04-22,185.15,188.1,184.55,187.47,34477100
IWM,2025-04-23,192.92,195.51,189.84,190.25,44866133
IWM,2025-04-24,190.76,194.37,189.89,194.06,29820132
IWM,2025-04-25,192.72,194.26,191.55,194.12,25029000
IWM,2025-04-28,194.5,196.15,192.53,194.94,22482300
IWM,2025-04-29,194.47,196.86,193.01,196.09,20118200
IWM,2025-04-30,193.14,195.48,190.72,194.86,29046138
IWM,2025-05-01,195.71,197.67,193.74,196.07,33169717
IWM,2025-05-02,198.33,201.21,198.18,200.48,30201800
IWM,2025-05-05,198.57,200.5,198.08,198.94,20834208
IWM,2025-05-06,196.59,198.59,195.64,196.77,24642149
IWM,2025-05-07,198.1,198.56,196.04,197.42,24027152
IWM,2025-05-08,199.77,202.74,198.26,201.18,32646309
IWM,2025-05-09,201.54,202.28,199.96,200.81,17203045
IWM,2025-05-12,208.84,209.73,205.82,207.87,38207233
IWM,2025-05-13,208.93,209.61,207.96,208.63,28295839
IWM,2025-05-14,208.04,208.54,206.53,206.78,26316119
IWM,2025-05-15,206.58,208.19,205.39,208.13,21563700
IWM,2025-05-16,208.42,210.13,207.78,209.85,28906400
IWM,2025-05-19,206.8,209.09,206.26,208.97,25859600
IWM,2025-05-20,208.66,209.76,207.96,209.08,22053136
IWM,2025-05-21,206.63,207.61,202.84,203.21,36704400
IWM,2025-05-22,202.29,204.37,201.53,203.2,31831347
IWM,2025-05-23,199.78,203.26,199.65,202.56,29114602
IWM,2025-05-27,205.64,207.75,204.16,207.7,31655900
IWM,2025-05-28,207.71,208.03,205.2,205.51,26046700
IWM,2025-05-29,206.95,207.06,204.47,206.12,32797660
IWM,2025-05-30,205.14,206.25,203.54,205.07,37768909
IWM,2025-06-02,205.32,205.84,202.67,205.71,30334304
IWM,2025-06-03,206.46,209.61,205.55,209.03,37702200
IWM,2025-06-04,209.18,210.01,208.14,208.44,27225338
IWM,2025-06-05,208.7,209.83,207.0,208.53,35778310
IWM,2025-06-06,211.5,212.13,210.6,211.9,32144500
IWM,2025-06-09,213.87,214.28,212.55,213.36,33984448
IWM,2025-06-10,214.46,215.43,213.81,214.51,30182222
IWM,2025-06-11,215.58,215.93,213.3,213.63,31113400
IWM,2025-06-12,212.17,213.27,211.63,212.78,25367000
IWM,2025-06-13,209.84,211.44,208.22,208.89,60580000
IWM,2025-06-16,210.48,211.95,209.64,210.77,28974028
IWM,2025-06-17,209.06,210.45,208.37,208.55,32843200
IWM,2025-06-18,208.44,211.39,207.78,209.65,42850532
IWM,2025-06-20,211.11,211.25,208.46,209.21,36978134
IWM,2025-06-23,208.48,211.78,206.81,211.77,35516436
IWM,2025-06-24,213.29,214.93,212.36,214.47,31772547
IWM,2025-06-25,214.66,214.73,211.89,211.97,27725600
IWM,2025-06-26,212.83,215.55,212.7,215.41,26261200
IWM,2025-06-27,216.05,217.41,214.13,215.48,47717340
IWM,2025-06-30,216.68,216.71,215.39,215.79,25558000
IWM,2025-07-01,214.62,220.53,214.15,218.01,43864836
IWM,2025-07-02,218.37,221.1,217.36,221.03,35735202
IWM,2025-07-03,222.01,223.33,221.77,223.08,23515741
IWM,2025-07-07,221.57,222.82,218.41,219.73,41551200
IWM,2025-07-08,220.58,222.29,220.33,221.25,36339315
IWM,2025-07-09,222.57,223.69,221.12,223.65,32425200
IWM,2025-07-10,223.39,226.05,222.86,224.8,33865900
IWM,2025-07-11,223.17,223.54,221.57,221.7,31579641
IWM,2025-07-14,221.37,223.34,221.06,223.19,24632248
IWM,2025-07-15,224.07,224.23,218.79,218.82,44215400
IWM,2025-07-16,220.22,221.37,216.91,221.02,48199800
IWM,2025-07-17,221.08,224.2,220.71,223.92,43548026
IWM,2025-07-18,225.29,225.36,221.98,222.33,49009900
IWM,2025-07-21,223.54,224.41,221.25,221.43,28191417
IWM,2025-07-22,221.62,223.81,220.66,223.27,30873300
IWM,2025-07-23,224.82,226.71,224.07,226.68,37478100
IWM,2025-07-24,225.52,225.85,223.48,223.55,29446700
IWM,2025-07-25,224.42,224.6,222.54,224.38,24555538
IWM,2025-07-28,225.32,225.44,223.43,224.12,24934940
IWM,2025-07-29,225.61,225.69,222.06,222.69,28685904
IWM,2025-07-30,223.66,224.93,220.12,221.56,48924406
IWM,2025-07-31,220.46,222.02,218.88,219.39,42913929
IWM,2025-08-01,216.22,216.56,212.34,214.92,63854124
IWM,2025-08-04,216.55,219.74,216.08,219.73,34989623
IWM,2025-08-05,220.56,221.26,218.24,220.85,31337100
IWM,2025-08-06,220.95,220.99,219.38,220.56,23142100
IWM,2025-08-07,222.76,222.84,218.51,219.84,37088008
IWM,2025-08-08,221.07,221.57,219.74,220.32,28318100
IWM,2025-08-11,220.77,221.68,219.81,220.27,25212844
IWM,2025-08-12,221.85,226.98,221.15,226.81,43991900
IWM,2025-08-13,228.26,231.46,227.83,231.22,41705800
IWM,2025-08-14,228.44,228.8,226.17,228.24,55945507
IWM,2025-08-15,228.64,228.78,226.04,227.13,33571448
IWM,2025-08-18,227.21,228.46,226.94,227.96,20144107
IWM,2025-08-19,228.02,228.98,225.69,226.21,25000700
IWM,2025-08-20,225.93,226.38,223.69,225.41,29229749
IWM,2025-08-21,224.41,226.32,223.78,225.97,24539400
IWM,2025-08-22,227.37,235.42,227.18,234.83,58205537
IWM,2025-08-25,234.14,234.3,232.36,232.36,28453700
IWM,2025-08-26,232.83,234.87,232.59,234.28,25121535
IWM,2025-08-27,233.74,236.12,233.56,235.94,25395400
IWM,2025-08-28,236.96,236.97,235.35,236.22,25011200
IWM,2025-08-29,236.74,237.02,234.37,235.17,29254800
IWM,2025-09-02,231.99,234.4,231.47,233.9,33108624
IWM,2025-09-03,233.27,235.26,232.46,233.67,33252400
IWM,2025-09-04,234.23,236.67,233.58,236.59,30323833
IWM,2025-09-05,237.72,239.68,234.95,237.77,47542500
IWM,2025-09-08,238.51,238.56,236.39,238.25,31487732
IWM,2025-09-09,237.9,237.96,235.42,236.85,35395800
IWM,2025-09-10,237.31,238.27,235.46,236.43,33910200
IWM,2025-09-11,236.85,240.93,236.24,240.8,43629818
IWM,2025-09-12,240.2,240.32,238.2,238.34,46097640
IWM,2025-09-15,239.23,240.04,238.55,239.35,33014031
IWM,2025-09-16,238.45,238.93,236.76,238.28,37059322
IWM,2025-09-17,238.82,244.28,237.02,238.89,79955604
IWM,2025-09-18,240.8,245.15,240.13,244.84,49167700
IWM,2025-09-19,245.57,245.57,242.51,242.98,56092037
IWM,2025-09-22,242.24,244.79,241.11,244.39,53572930
IWM,2025-09-23,245.01,247.18,243.44,243.84,41854513
IWM,2025-09-24,243.9,244.61,241.56,241.6,36002200
IWM,2025-09-25,238.98,239.99,237.55,239.29,37209500
IWM,2025-09-26,239.62,241.68,239.33,241.34,28942800
IWM,2025-09-29,242.84,242.93,240.81,241.62,26391500
IWM,2025-09-30,241.11,242.13,239.4,241.96,33447721
IWM,2025-10-01,240.57,243.04,240.55,242.49,28520000
